ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
619797,"Напиток чайный Konigin Herbarium Теплый шарф (1.5г х 20шт), 30г",https://online.metro-cc.ru/products/20h15g-nap-konigin-herbarium-tyoplyj-sharf,108,,KONIGIN HERBARIUM
498961,"Чай Maitre de The Луи Дор черный, 150г",https://online.metro-cc.ru/products/maitre-de-the-lui-dor-chernyj-v-zheleznoj-banke-150-g,499,,MAITRE DE THE
624337,"Напиток чайный Sonnentor При плохой погоде травяной, 50г",https://online.metro-cc.ru/products/travyanoj-pri-plohoj-pogode-sonnentor-50-g,459,,SONNENTOR
313076313,"Чай Азерчай черный байховый с бергамотом (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-azerchay-chyornyy-bayhovyy-s-bergamotom-paket,117,,АЗЕРЧАЙ
316699950,"Чай Just T белый Darling Peach (2г x 20шт), 40г",https://online.metro-cc.ru/products/20h2g-chay-just-t-belyy-darling-peach-paketirovannyy,429,359,JUST T
318027216,"Чай Just T черный Sunrise Breakfast (3г x 20шт), 60г",https://online.metro-cc.ru/products/20h3g-chay-just-t-chyornyy-sunrise-breakfast-pak,429,359,JUST T
619197,"Напиток чайный Konigin Herbarium Ромашка (1.5г х 20шт), 30г",https://online.metro-cc.ru/products/20h15g-nap-konigin-herbarium-romashka,108,,KONIGIN HERBARIUM
550299116,"RIOBA Чай черный с мятой (2г x 25шт), 50г",https://online.metro-cc.ru/products/rioba-chay-chernyy-s-myatoy-2g-x-25,105,,RIOBA
183153,"Чай Принцесса Ява Традиционный зеленый (2г х 25шт), 50г",https://online.metro-cc.ru/products/princessa-yava-zelenyj-25h2g,68.9,59.9,ПРИНЦЕССА ЯВА
624572,"Напиток чайный Tipson Sleep well травяной (1.3г x 20шт), 26г",https://online.metro-cc.ru/products/tipson-sleep-well-travyanoj-20-paketikov,369,,TIPSON
126882,"Чай Greenfield Golden Ceylon черный крупнолистовой, 100г",https://online.metro-cc.ru/products/100g-chernyj-zolotoj-cejlon-428444,195,,GREENFIELD
625722,"Чай Принцесса Нури Лимон черный ароматизированный (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/25h15g-princessa-nuri-limon-paketirovan,76.9,64.9,ПРИНЦЕССА НУРИ
614561,"Чай Curtis Delicate черный (1.7г x 25шт), 43г",https://online.metro-cc.ru/products/25sht-curtis-delikato-chernyj,116,109,CURTIS
